url,path,clicks_7d,impressions_7d,ctr_7d,position_7d
https://www.kashitaxi.in/hi/lolark-shashti-lolark-kund-varanasi-guide,/hi/lolark-shashti-lolark-kund-varanasi-guide,186,8108,0.023,3.5
https://www.kashitaxi.in/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,181,1497,0.121,3.8
https://www.kashitaxi.in/en/lolark-shashti-lolark-kund-varanasi-guide,/en/lolark-shashti-lolark-kund-varanasi-guide,145,9374,0.015,5.2
https://www.kashitaxi.in/bike-rentals-varanasi,/bike-rentals-varanasi,129,3978,0.032,6.1
https://www.kashitaxi.in/en/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2026,/en/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2026,96,9337,0.01,6.6
https://www.kashitaxi.in/en/sarnath-timing-visit-guide,/en/sarnath-timing-visit-guide,60,2072,0.028999999999999998,3.1
https://www.kashitaxi.in/en/kashi-vishwanath-sparsh-darshan-night-aarti-guide,/en/kashi-vishwanath-sparsh-darshan-night-aarti-guide,45,2772,0.016,7.0
https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-taxi,/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-taxi,38,2332,0.016,4.3
https://www.kashitaxi.in/hi/sarnath-timing-visit-guide,/hi/sarnath-timing-visit-guide,37,1615,0.023,5.8
https://www.kashitaxi.in/en/what-to-wear-in-varanasi,/en/what-to-wear-in-varanasi,33,2257,0.015,4.3
https://www.kashitaxi.in/hi/guide-to-10-most-important-ghats-of-varanasi,/hi/guide-to-10-most-important-ghats-of-varanasi,29,3590,0.008,7.7
https://www.kashitaxi.in/en/varanasi-to-vindhyachal-taxi,/en/varanasi-to-vindhyachal-taxi,28,2444,0.011000000000000001,5.9
https://www.kashitaxi.in/hi/varanasi-to-vindhyachal-taxi,/hi/varanasi-to-vindhyachal-taxi,24,3328,0.006999999999999999,5.5
https://www.kashitaxi.in/en/varanasi-in-october-2026,/en/varanasi-in-october-2026,24,2691,0.009000000000000001,5.4
https://www.kashitaxi.in/en/city/varanasi/sightseeing/varanasi-local-sightseeing-package,/en/city/varanasi/sightseeing/varanasi-local-sightseeing-package,23,537,0.043,5.5
https://www.kashitaxi.in/en/varanasi-weather-guide,/en/varanasi-weather-guide,22,15539,0.001,9.2
https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-varanasi-junction-taxi,/en/city/varanasi/taxi/varanasi-airport-to-varanasi-junction-taxi,22,2869,0.008,5.2
https://www.kashitaxi.in/hi/varanasi-ke-ghaton-ke-liye-guide,/hi/varanasi-ke-ghaton-ke-liye-guide,20,3391,0.006,6.0
https://www.kashitaxi.in/hi/assi-ghat-aarti-timings-2026,/hi/assi-ghat-aarti-timings-2026,20,3095,0.006,7.4
https://www.kashitaxi.in/en/city/varanasi/food/varanasi-street-food-guide,/en/city/varanasi/food/varanasi-street-food-guide,19,1850,0.01,7.5
https://www.kashitaxi.in/,/,19,585,0.032,16.3
https://www.kashitaxi.in/en/best-time-to-visit-varanasi,/en/best-time-to-visit-varanasi,18,2719,0.006999999999999999,4.5
https://www.kashitaxi.in/en/dashashwamedh-ghat-ganga-aarti-timing,/en/dashashwamedh-ghat-ganga-aarti-timing,18,2526,0.006999999999999999,8.7
https://www.kashitaxi.in/hi/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2026,/hi/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2026,16,4526,0.004,6.9
https://www.kashitaxi.in/hi/varanasi-in-monsoon-july-september-2026,/hi/varanasi-in-monsoon-july-september-2026,16,744,0.022000000000000002,6.4
https://www.kashitaxi.in/hi/varanasi-sunrise-time,/hi/varanasi-sunrise-time,15,79153,0.0,9.9
https://www.kashitaxi.in/en/safety-and-security-in-varanasi-guide-for-solo-travellar,/en/safety-and-security-in-varanasi-guide-for-solo-travellar,15,1986,0.008,5.6
https://www.kashitaxi.in/en/services/where-to-stay-in-vindhyachal,/en/services/where-to-stay-in-vindhyachal,14,611,0.023,8.4
https://www.kashitaxi.in/hi/trikon-parikrama-vindhyachal-complete-guide,/hi/trikon-parikrama-vindhyachal-complete-guide,14,372,0.038,4.6
https://www.kashitaxi.in/en/manikarnika-ghat-sacred-cremation-grounds,/en/manikarnika-ghat-sacred-cremation-grounds,12,2591,0.005,8.8
https://www.kashitaxi.in/en/varanasi-in-monsoon-july-september-2026,/en/varanasi-in-monsoon-july-september-2026,12,1882,0.006,7.4
https://www.kashitaxi.in/en/morning-boat-ride-varanasi-price,/en/morning-boat-ride-varanasi-price,12,697,0.017,7.3
https://www.kashitaxi.in/en/services/kashi-vishwanath-darshan-senior-citizen-wheelchair,/en/services/kashi-vishwanath-darshan-senior-citizen-wheelchair,12,342,0.035,7.9
https://www.kashitaxi.in/hi/where-to-stay-in-vindhyachal,/hi/where-to-stay-in-vindhyachal,11,427,0.026000000000000002,6.3
https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2026,/en/assi-ghat-aarti-timings-2026,10,1905,0.005,6.6
https://www.kashitaxi.in/en/sarnath-complete-guide,/en/sarnath-complete-guide,10,1785,0.006,9.4
https://www.kashitaxi.in/en/ram-rajya-finale-ramnagar-ramlila,/en/ram-rajya-finale-ramnagar-ramlila,10,1124,0.009000000000000001,5.2
https://www.kashitaxi.in/en/varanasi-transport-price-guide-2026,/en/varanasi-transport-price-guide-2026,10,960,0.01,5.1
